text,normalized_rating,price,sentiment_score,combined_score,product
Ordered one for my daughter for college she loved it thinking about ordering one for my self.,0.8400000000000001,271.26,0.7,0.7811090884587872,Macbook
"Great product, excellent condition and phenomenal customer service",0.8,596.0,0.7666666666666666,0.7687777006036857,Macbook
"Nothing more to say than it does exactly what we expect it to do.  Battery life is great, unlike the Magic Mouse, the plug to charge it is convenient, so we can use it while charging it.  Love the feel of it, and connects to the MacBook Pro in in no time.  Perfect companion for your Mac computer.",0.9,69.74,0.5916666666666667,0.7658333333333334,Macbook
the macbook arrived in perfect condition. The battery is efficient for 3 to 4 continuous hours. It is worth for the price.,0.8400000000000001,284.0,0.65,0.7547883748172874,Macbook
It looks completely new works great excellent value,0.8400000000000001,271.26,0.6454545454545455,0.7538363611860601,Macbook
"Love this MacBook.  Getting it off Amazon saved me money!  I have no issues with it, TouchID works perfect!",0.82,1020.03,0.8125,0.7537365803468687,Macbook
I needed to get a computer and to save money decided to go with a pre-owned MacBook Air.  I am VERY happy with my purchase! It arrive very clean and in great condition and works perfectly.  I was also contacted by the seller to make sure I was pleased with the product and I am.  I would absolutely buy it again.,0.8400000000000001,271.26,0.6395238095238096,0.7508709932206921,Macbook
Love it!,0.86,289.0,0.625,0.7477700413630097,Macbook
Awesome! Exactly as the description said it would be.,0.8400000000000001,271.26,0.625,0.7436090884587874,Macbook
"True to the product description, I got the A2337 MacBook. The battery life is 100%, and there were no cosmetic issues. It’s an awesome laptop.",0.9,704.0,0.675,0.7417483646579518,Macbook
Good,0.8400000000000001,700.0,0.7,0.736663031421374,Macbook
"We are very pleased with this product. Very good shape.  Was taking a gamble on buying a refurbished product but, oh my, runs like new. Battery life is beyond good. Will be purchasing again.",0.8400000000000001,271.26,0.5990909090909091,0.7306545430042419,Macbook
"I have wanted a Mac book for forever. This gave me the means to get one. It works perfectly and came in flawless condition. It is my baby. Can’t give it enough good reviews. If you are hesitant like I was, just do it. You won’t regret buying this model.",0.8,596.0,0.675,0.7229443672703524,Macbook
Best keeps getting better,0.82,1020.03,0.75,0.7224865803468687,Macbook
"We ordered this laptop as renewed, however it stated in excellent condition and a key on the keyboard is rubbed off. Not in excellent condition!",0.8,596.0,0.6666666666666666,0.7187777006036857,Macbook
"After using one that belonged to someone I found it to be so impressive to begin a search for this one. So glad I found it. It has a nicely lit, bright screen and keyboard. Easy to see, easy to type. Nice memory. No complaints.",0.82,518.97,0.6095238095238095,0.704191717228861,Macbook
I had gone to Apple to get this keyboard. It didnt work well. Shortcuts didnt work etc. I bought this one. And it is gorgeous!!! Everthing works well. It identified by my macbookpro. And It is not like used stuff. Clean like new. Well packaged. Half of the price.  Awesome,0.9,69.74,0.4672727272727272,0.7036363636363636,Macbook
Great for the price and even came with a complimentary cover for it. I love it.,0.8400000000000001,271.26,0.5333333333333333,0.697775755125454,Macbook
I can do lots of things now but am just learning all the things that are different so I expect it to perform much better for me once I get the hang of it! I especially love it’s light weight (which compares favorably in my approval with longer battery life!),0.8400000000000001,271.26,0.53125,0.6967340884587874,Macbook
MacBook answered my expectations on all parameters. Excellent technique. At AMAZON  never failed my expectations,0.72,398.11,0.625,0.6944589687237593,Macbook
Came flawless with 0 scratches or dents. Works perfectly and very fast. The screen display is very vivid.,0.8,596.0,0.605625,0.6882568672703524,Macbook
Nice product go for it,0.8,596.0,0.6,0.6854443672703523,Macbook
liked it,0.78,576.0,0.6,0.6815177010874636,Macbook
"I BOUGHT A ALMOST $700 ""RENEWED"" MAC FROM AMAZON FOR MY DAUGHTER'S BIRTHDAY LISTED IN ""EXCELLENT"" CONDITION. UPON ARRIVAL, THE BATTERY DID NOT WORK AND WOULD NOT CHARGE. I NOT ONLY DID NOT HAVE A GIFT FOR HER, BUT HAD TO PAY TO RETURN IT TO CERTIFIED MACS. DON'T RISK IT!",0.8400000000000001,271.26,0.5,0.6811090884587874,Macbook
My MacBook Pro works perfectly!!! It came in perfect condition and was really simple to setup!!! I will definitely purchase from this shop again.,0.8400000000000001,339.0,0.5,0.6740867068202316,Macbook
"The laptop was well protected and clean with no marks on it the charger was impeccable has the laptop,battery like new.Highly recommended product thanks alot!!",0.8400000000000001,271.26,0.4763888888888889,0.6693035329032317,Macbook
Bought renewed mcb air. It was in great condition and felt like new.,0.8400000000000001,271.26,0.4681818181818182,0.6651999975496964,Macbook
This product is 100% fully functioning great & looks brand new. I’m extremely satisfied with this. And the price was a great deal.,0.72,398.11,0.5590909090909091,0.6615044232692139,Macbook
Nice :),0.8,596.0,0.55,0.6604443672703524,Macbook
"Couldn't be happier, there's no signs of wear or anything. Usually with refurbished goods you can find something but this is impeccable! Charged it up and flipped the switch and it paired right up to my MacBook!",0.9,69.74,0.34821428571428575,0.6441071428571429,Macbook
"Had this for a while now and I am very happy with it.  I use it to edit photos, listen to music and watch videos. My needs are pretty simple and this is great and fulfills all my requirements .",0.8,596.0,0.5125,0.6416943672703523,Macbook
"I am so pleased with this product! It came in excellent condition! The original charger didn’t come with it but it still came with a decent charger that is new. I’d say that these should come with their original packaging that’s my only criticism! I’m very happy with my purchase. I was able to set up my finger print, my cloud account and synch my cloud account. Everything is running smoothly it charged up real nice! It was beyond my expectations! Thank you!",0.8,596.0,0.5070936639118457,0.6389911992262752,Macbook
It’s a beauty ! I love my computer! Very well wrapped. Looks perfect!👍🏻,0.8400000000000001,271.26,0.4125,0.6373590884587873,Macbook
"It came in and everything was perfect, would definitely recommend and would buy again!",0.8,594.0,0.5,0.6356517006520634,Macbook
Mine doesn't seem to have a scratch on it and everything works perfectly (although I'm only a week in).  The battery cycle count is at friggin' 14!,0.8,596.0,0.5,0.6354443672703524,Macbook
"Came in a plan white box, but looks brand new.  It is different typing from the original wireless keyboard, but it's just like my MacBook Pro with the scissors keys.  I feel pretty at home on it and can type fast and error free. Great price to get a refurb and over all it's very nice buy.",0.9,69.74,0.32681818181818184,0.6334090909090909,Macbook
Very happy with this computer. It was essentially brand new...as advertised. This is the way to go for sure through this seller. Thank you.,0.72,398.11,0.5,0.6319589687237593,Macbook
My husband love it! Not only did it come two days early but it is basically brand new. Great product for an amazing price!,0.86,339.0,0.4018939393939394,0.6310336765172013,Macbook
It was delivered in great conditions. A few scratches on the bottom but so far so good!,0.8400000000000001,259.0,0.39375000000000004,0.6292550420886766,Macbook
I am so happy with my MacBook! I got it a day early! It runs so well! There are no scuffs or scratches on it! It’s like brand new! I love my MacBook Air so much! Thank you so much!,0.8400000000000001,271.26,0.39429450757575757,0.628256342246666,Macbook
"For the first time i actually got a good renewed item.<br /><br />On the outerwear besides from one side dent, screen was perfect no scratches, outer side had 2-3 scratches but no dents, ports were near non-used lastly the hinges are good, no slack or leaning. Overall the macbook was clean and in excellent condition.<br /><br />Inside the mac when turning on for the first time, there was a prompt to make a new account(meaning this item wasnt stolen). The most surprising thing would be the battery cycle, only 20 uses, either its a new battery or this mac was never used. Ssd and ram was as said 128gb +8gb ram. All the normal things and non intensive programs like youtube, twitter insta, etc work great.<br /><br />Would recommend buying, and if it isnt perfect return it, you have 90 days to return.",0.8400000000000001,284.0,0.38829966329966337,0.6239382064671192,Macbook
Arrived as scheduled and in line new condition. Good value,0.82,390.0,0.41818181818181815,0.6218906146775071,Macbook
I love my MacBook! Its in really good shape besides a few scratches on the back. You would think it's brand new. It's so fast and I am really enjoying it! I ordered a cover for it just i case but I didn't need it! So worth the money! & customer service is amazing!,0.8400000000000001,259.0,0.37417929292929286,0.619469688553323,Macbook
"Debated for weeks in getting a MacBook or an iPad, after reading many reviews I decided to go for the iPad Pro. So far I'm very happy with the performance and results, I do lots of video and photography and the convenience of having an iPad Pro makes a big difference.",0.8800000000000001,529.0,0.4,0.616390035557675,Macbook
"Honestly, I was skeptical about buying a used MacBook off of Amazon. But it is absolutely perfect. I bought a used one that is in excellent condition, and it is perfect. I have not had any problems with battery life Or performance in the last month I’ve had it. The screen, and outer shell is also in outstanding condition. Basically like brand new, without the price tag.",0.8400000000000001,740.0,0.46704545454545454,0.6160390910598789,Macbook
"The MacBook is in excellent condition. The body is in perfect shape, no scuffs, no wear etc. Battery had 80 cycles (not bad). Everything works just fine. It's a lot of computer for $929.<br />Seller: Global Resale, LLC",0.82,1099.0,0.5533333333333333,0.6159666884366717,Macbook
"I love this computer! I was hesitant at first because it was so cheap, but after watching reviews I purchased. It's very small and lightweight, the screen graphics are very good, it's good. The only thing I would say is the battery isn't very good. It does die a little quick, but I do think this is a great purchase!! Perfect for school!",0.72,398.11,0.46798611111111105,0.6159520242793148,Macbook
It arrived safely and very well packed. The system works fine and I was able to update it to the latest version. It does not have any damage and the battery works very well,0.82,390.0,0.3861111111111111,0.6058552611421535,Macbook
I am a nursing student meaning I have a lot of work and stuff to carry. This MacBook is amazing and it is not heavy nor is it large and bulky. It’s battery life lasts very well and most certainly will last me a school day and more. It is especially a great product for its price and would most definitely buy again.,0.8400000000000001,271.26,0.348051948051948,0.6051350624847613,Macbook
"I received my computer a day sooner than expected. I love my Macbook Pro! So glad I picked this model. I’ve been on PC for years. I liked it very much, but this Macbook, although I’m still in the exploration phase, feels like a new beginning for me and my work. Like a breath of fresh air. Thanks so much for your excellent service!",0.82,356.0,0.37213636363636365,0.6023925548938689,Macbook
"Seriously, I really thought I was going to get scammed. I made a leap of faith and bought it – it was the best decision ever!! This computer looks brand new, it didn’t have an ICloud account, it was so easy to configure, gorgeous color, the battery life is almost 90% and everything works as it should be!!! I’m really pleased with my order.<br /><br />It has cosmetic details, like little scratches on the outside but really you can’t event tell. The screen, keyboard, audio and even the Touch ID work 100%.<br /><br />I’m really happy with my new MacBook Air :)",0.9,704.0,0.39321338383838383,0.6008550565771437,Macbook
I'm a developer and I find this to be an excellent tool just what I was waiting for.<br /><br />the only cons is that it tends to heat-up more than I'm used to.,0.82,1020.03,0.5,0.5974865803468687,Macbook
all ok,0.82,1020.03,0.5,0.5974865803468687,Macbook
Love the size and display clearness. It was refurbished but looks brand new!,0.8400000000000001,339.0,0.3352272727272727,0.591700343183868,Macbook
"Excellent so far. Exterior is in new condition, screen is not scratched. Spacebar was sticky and slow, but after I snapped it off and cleaned, it works like new. Very happy with this purchase and the money I saved over buying a new model.  This is my fifth MacBook",0.8400000000000001,271.26,0.3155844155844156,0.5889012962509951,Macbook
"I love this keyboard. It hooks up to my MacBook and even has brightness and volume adjusting and keys. That’s great because now I don’t have to reach up to my computer’s keyboard to adjust those things. No delete button tough, only backspace.",0.9,69.74,0.2277777777777778,0.5838888888888889,Macbook
Received it lighting quick.  Came in as describe.  I have has it for several weeks and so far I love it!!,0.86,349.0,0.30364583333333334,0.5808729565783427,Macbook
"Be aware! This requires a lightening cable. Those of us without iPhones might not have one, and the one that Amazon throws in with the refurbished keyboards is 4&#34; long. I hated charging this keyboard until I bought a micro USB to lightening adapter (and a bit of rubber called LightningCozy to keep from losing it). Fortunately the keyboard runs forever! I never turn it off and it's never gone dead in weeks and weeks. I've charged it twice, mostly out of anxiety. And if you have a Mac, you can see the battery level in the Bluetooth preferences. Typing is pretty easy, not as nice as some others but I bought this for the design factor! It's gorgeous, if a little sharp on the edges. Perfect pair for using my Macbook Pro via HDMI to my 4k TV. Sit back and type away!",0.9,69.74,0.2130952380952381,0.5765476190476191,Macbook
This is was a pretty good purchase. The MacBook had very little visual defects and the Battery life was not the best but holds a good 80% at least.<br /><br />This new however is even better. Pricey but that is the price you pay when you want an Apple product.,0.8,596.0,0.38032670454545453,0.5756077195430797,Macbook
Not sure if it’s the battery that doesn’t last long or if it’s the Amazon charging cable that it comes with that isn’t doing a good job charging.  Will order an apple charger to find out.  Otherwise very happy!,0.8400000000000001,271.26,0.27999999999999997,0.5711090884587873,Macbook
"I didn’t know what to expect of my “refurb” MacBook Pro 15in 2017. I’ve never dealt with Woot before.<br />I was thoroughly surprised to see how immaculate it was, right out of the box. The MacBook looks absolutely brand new! Maybe I got lucky with the batch. But for the price I paid, it’s an absolutely wonderful deal! Give them a try!",0.8400000000000001,604.62,0.3482503607503607,0.5706759407703578,Macbook
"If you are not familiar with which are the NEWEST IPads? which I wasn't, then you will buy into getting an old one for cheap. ( optimial word CHEAP) I should have known better. Sent it back because I don't want one that will be obsolete in 6 mos or so KWIM? I dont mind refurbished but you have to read the FINE print !!",0.86,289.0,0.2662202380952381,0.5683801604106287,Macbook
"This is the third Amazon Renewed Mac that I’ve purchased. This is my first MacBook Air - it looks and runs brand-new, much lighter than my MacBook Pro, and was easy to setup. The battery life is good. I love, love, love that the charging cable for the Air is a USB-C power port and power adapter. I like so much better than older chargers.",0.78,595.32,0.37499999999999994,0.5670148606201342,Macbook
I really love this computer the speaker or volume is really loud you can download a lot of things worth this space it’s definitely a good travel sizes but it’s still big enough for you and your friends to stay up all night and watch attack on titan,0.8400000000000001,271.26,0.26666666666666666,0.5644424217921207,Macbook
Its a great mac but the only problem is the battery life. It keeps dying like every two hours of use.,0.62,285.0,0.4,0.5636847081264319,Macbook
"I hit the jackpot with this one! When I unboxed the iPad Pro, it already had a glass screen protector on it. I wish I had known because I purchased one to go o it. Like other reviews, it the battery was pretty much dead and the charge is not Apple, so it has taken 10hrs to fully charge. It works perfectly and if I don’t tell anyone, you’d think I bought it brand new! My husband bought our daughter a new regular iPad 8th generation for the same price as my pro. I got a great deal!",0.86,255.0,0.247979797979798,0.5627846078419978,Macbook
GF is a computer science major and needed a new laptop. Was nervous buying a used one but it turned out great and everything the seller promised. Very pleased. Make sure to contact the seller for additional pictures and battery cycle.,0.82,1020.03,0.4297727272727273,0.5623729439832323,Macbook
So far so good. Could have been cleaned better. Can see finger prints on screen and old sticker residue. Functionally it works as stated.,0.8,596.0,0.35,0.5604443672703523,Macbook
"The computer was as advertised, no damage or marks on the case.  It was a 2016 model, which I was surprised but the good news was it had the old keyboard... much better than the new ones!",0.82,518.97,0.3140909090909091,0.5564752670124107,Macbook
Very clean and I’m brand new condition. Thank u!! I will be looking into the warranty as well.,0.72,398.11,0.3448674242424243,0.5543926808449715,Macbook
"Impressed! I hardly ever write reviews, but I had to for this MacBook. If I didn't know this was refurbished, I would have no clue. It appears, feels, and smells brand new. Even the number of battery cycles was... 2. Just 2! Extremely satisfied with my purchase.",0.72,398.11,0.34469696969696967,0.5543074535722442,Macbook
"I have to admit, this is the largest purschase I have ever made on Amazon and it is for a used product.  I've only bought two things before Amazon Renewed with one great and the other I had to return (non were computer).  This review is really different for me because it is more of a review of the seller than the product itself because if the product is as advertised then I know it is a good product.  I know that because this replaces an 11 yr old MacBook.  A laptop that can last that long brings buyer loyalty.<br /><br />Now for the review.  The MacBook looks virtually brand new.  The only blemish is on the top of the screen that is a small scratch.  It's not in the pixel area, but in the black-out area, so no problem for me at all.  I've already loaded the newest OS and loaded my time machine from the old MacBook.  Evertyhing is working great.  The charger is not an Apple charger, but I already knew that would likely be the case.<br /><br />If anything changes I will update this review.  At this time I'm super happy because this is Craigslist pricing that comes with a 90 day warranty and you don't have to worry about being robbed.  I'm very happy at this time.",0.82,390.0,0.2812998405103669,0.5534496258417814,Macbook
Exceptional customer service from Double Dex.  I highly recommend them and would be happy to do business with them again.,0.64,478.0,0.4066666666666667,0.5530103701246419,Macbook
"I bought this lap top because I needed something reliable and fast to get me through school, it came in like brand new. I have had it for almost a year now and it is the best lap top I have had by far! I highly recommend buying! It's fast, light, and has amazingly clear images!",0.72,398.11,0.3386363636363637,0.5512771505419412,Macbook
Bought this so that I can use my 2014 macbook pro as a desktop. It works really well and typing feeling is smoother than 1st gen apple keyboard. I like also because no need for AA battery anymore.<br /><br />I didn’t want to pay for 100 dollars for apple keyboard so I got Amazon Renewed Product and it looked like brand new and functioning normally.,0.9,69.74,0.1621212121212121,0.551060606060606,Macbook
"I am very satisfied so far with my purchase of this computer. It has worked wonderfully. Being it is refurbished, I was expecting it to look used, but it looked brand new and has been working like new. I would recommend this to anyone needing a Macbook b/c it is much cheaper than buying brand new.",0.8400000000000001,740.0,0.337012987012987,0.5510228572936451,Macbook
Only because I was on a very tight deadline did I feel the need to return the unit.  If I didn't have to go out and purchase unit locally the seller seems reliable and did their best to resolve the issue but I was already behind schedule on the project.  So time didn't allow that luxury.  Had we been able to I would have loved this unit.<br />Gorgeous look to it and potentially very powerful.  I have non issues with the seller.  They did the best they could<br />under the circumstance.  It happens.,0.8,596.0,0.32865079365079364,0.5497697640957492,Macbook
Good solid mac computer low cost quality build.,0.8400000000000001,271.26,0.2333333333333333,0.547775755125454,Macbook
"Despite being a ""renewed product"", it seems to work just fine. It runs the old 32 bit Mac operating system which is exactly what I wanted.",0.82,345.0,0.2555555555555556,0.545242484452876,Macbook
"Very easy to use, but would prefer a heavier touch due to arthritis in my hands.",0.86,289.0,0.21916666666666668,0.544853374696343,Macbook
"Aight! Since there’s really isn’t a lot of honest reviews out there, here’s mine. Since I never owned a MacBook before, I wasn’t about to drop alotta money on one if I didn’t like it. Well I got this one when it was only $195. I was surprised that it came in, in mint condition. No scuff marks. Very clean too. It had the latest OS installed. After I got my Apple info squared off, I was good to go. The only downside to this purchase was that the battery was shot. Given that this machine came out in 2015, that was to be expected. It still had the original battery. So after I ordered a replacement battery and installed said battery, it was good as new. Also, when you start using the pc, a warning will come up, stating that your storage is almost used up. That’s because your system takes a lot of storage for some odd reason. That’s normal. Give it bout a week and magically your storage will return to normal. That’s what I did anyways. Anyways, peace, love, and chicken grease!",0.8400000000000001,271.26,0.22618686868686874,0.5442025228022217,Macbook
"Just as described. I was worried a t first as it did not come in Apple box, but was very securely shipped. No scratches, keyboard and mouse and all cords included. I bought for my daughter’s online schooling. It’s been 2 weeks - no issues. I work on MacBook Pro so my expectations were high.",0.86,747.47,0.31,0.5427419736064605,Macbook
"I purchased this renewed iPad Pro for a POS, which is why I wasn't too concerned about the exterior, as I would be placing it inside a stand.  That said, the item does have a few visible scratches on the body. One little indent as well. But the screen is good and like new.<br />I haven't used it enough to know if there are any issues with the screen. But I did go through the initial setup and did not have any problem. Wifi connected just fine, but I haven't tested it yet with a SIM card.<br /><br />For the price, it was a good purchase.",0.86,255.0,0.20416666666666666,0.5408780421854321,Macbook
"This macbook air is flawless, not a scratch, not a chipped key, nothing visible ""off"" with this machine. Everything loaded right up.<br /><br />16 year old working from home...like the rest of us, needed a dedicated laptop for her. I looked at the $350+ range from a couple of providers but the reviews were mixed. We went with an Amazon Renewed by Double Dex Refurbished because they have a great reputation.<br /><br />This is day one so I'll post an update if I find any issues. So far ""exceeds expectations.""",0.82,545.0,0.28571428571428575,0.5395885113611288,Macbook
"Being new to MacBook I wanted a MacBook that I could get all the updates~ perhaps I’m a bit uneducated on the whole iOS update process. I believe due to the age of this MacBook the newer iOS  versions cannot be downloaded (when I went to download certain apps it stated macOS version 10.15 or later was required).<br /><br />However, where there’s a will there’s a way, so I was just able to go in via Safari and log-into everything I need such as Netflix, Hulu, etc., without downloading the apps- I set them as a favorite. I access Microsoft online (just Google it) to get the free version of Word and Excel. And Wala everything is working perfectly so far no issues I’ve had about two weeks! For the price it’s worth it and I can still be very productive on it.",0.8400000000000001,271.26,0.20422077922077922,0.5332194780691769,Macbook
"I assume this product would have been great, had the company responsible for refurbishing put the mounting screw in the SSD, so it wouldn't have broken. Going through the refund process, now. 👎",0.8400000000000001,271.26,0.19999999999999998,0.5311090884587873,Macbook
"Received my Macbook Pro a day early than expected. I wanted to wait to write a review so I could make sure that it worked well. My old job gave me a 2020 Macbook air and I loved working on it. I did not want to spend that much money, so I researched at found out that a lot of people who do a lot of creative stuff online like the 2015 Macbook pro, and I see why!<br />- Keyboard is awesome. Lights up.<br />- Battery Life isn't bad, having that I had an old 2011 HP laptop that I used for my undergrad and its shot.<br />- Has all outlets you need to upload media (New versions require you to buy an extension to use USB, HDMI and does not have a headphone jack, not that I'm going to use it anyways)<br />- This laptop does NOT have an outlet for a CD or DVD.<br />- This laptop does NOT come with Windows, Adobe, or anything. Just basic apps from Apple.<br />- The screen is just as bright and beautiful as the 2020 Macbook Air that I used for work.<br />- Doesn't over heat. Haven't had any issues since receiving it.<br />The laptop did have some small marks on it, but it looks like it'll come off with a Clorox wipe.<br />**I did see a few people have issues with having their keyboard cover ruining the laptop screen, so I will be getting a screen protector, keyboard cover and a case for my laptop just so I won't ruin it.<br />Great laptop for school and work.",0.82,356.0,0.2272727272727273,0.5299607367120507,Macbook
"The MacBook Pro came in a sealed Apple box and one would never know the difference between this certified refurbished model and a new one.  Boot-up was just like starting up a new MacBook and by using the iCloud back-up, the migration process went very smoothly.  Extremely pleased with this purchase!",0.82,356.0,0.22443181818181818,0.5285402821665961,Macbook
This MacBook definitely looks and works like new ! Love it,0.82,356.0,0.22348484848484848,0.5280667973181112,Macbook
"I was doubtful when I bought this that it would be as good as advertised. They sent the wrong size, got the 13” instead of 11”, but I kept it anyway. I am glad I did! This MacBook Air looks and runs like a brand new one! I couldn’t be more pleased!",0.8400000000000001,284.0,0.18863636363636363,0.5241065566354693,Macbook
This is my first Mac and I received it earlier then what was said. I must say for it to be a older model I Iove it. I have had my Mac now for a month. I did research for weeks prior to purchasing. Was looking for something affordable but also all what I was looking for. I will be purchasing another for graphics months ahead and will be giving my son this for his photo/filming editing. I will update as I learn more.,0.86,349.0,0.18333333333333332,0.5207167065783427,Macbook
I received exactly what I ordered. Looks practically brand new with only minor scratches. I planned on putting a case on it anyway. It run perfect. The battery life is the only downside but it lasts a few hours and fit my needs. Shipping was fast. It was packaged properly. Had it up in running in a matter of minutes.,0.8400000000000001,271.26,0.17363636363636364,0.5179272702769692,Macbook
Since the computer arrived its freezing all the time. I had it erased and reinstalled the software and now is a little better but still freezes very often.,0.8400000000000001,271.26,0.1708333333333333,0.516525755125454,Macbook
Can never go wrong with an apple product. This was refurbished and the computer was flawless. It looked brand new. Not a single scratch.,0.8400000000000001,259.0,0.1680194805194805,0.5163897823484168,Macbook
super macbook pro.  it's just I was looking for,0.82,1020.03,0.3333333333333333,0.5141532470135354,Macbook
"Definitely worth the money!! The laptop I received only has one tiny tiny scratch that you would never notice unless you analyzed it (like I did). Runs great, super fast, been using for a couple days and haven’t had a single problem. Hard to believe it was ever even used before me. Starting grad school soon and so excited to have this laptop to use for school.",0.8400000000000001,271.26,0.16490800865800864,0.5135630927877917,Macbook
"I was super skeptical about buying a used Mac. If you want a bargain this is it!!! No need to spend thousands these look brand spanking new, chargers work amazing. Completely satisfied with my purchase whenever these go down I’ll be buying from here again!  My wife and I are avid Apple product users but after my cat pushed my MacBook Pro off of my very high king size bed I was quoted 800 to fix the jacked up screen because it was out of warranty by a month! So I instead moved all my stuff to an external hard drive and got these! Love love love! Will never buy new again. I promise you you will not regret this purchase!",0.8400000000000001,284.0,0.16711151695526696,0.513344133294921,Macbook
There was a huge backlash when the screen opened. the screen does not stay in the same position. The whole outer layer is also damaged.,0.82,390.0,0.19999999999999998,0.5127997055865979,Macbook
"I bought this as a replacement for my solid but aging Macbook Pro. I noticed the first one had an issue and customer service promptly sent out a replacement. This machine is great. I use it to run Logic Pro, Adobe Creative Suite and SERATO!! It works like a dream. It is a little heavier than I expected for the size but still a solid laptop. No complaints!",0.82,518.97,0.22053571428571428,0.5096976696098133,Macbook
"Important, be very careful with the seller in my particular case I bought the 256GB Mac book air, it arrived in perfect condition, everything functional, but after about 10 days several letters on the keyboard stopped working, so I am dissatisfied with the product and the seller, since I had to buy a new keyboard and install it, since said laptop was sent to Ecuador and the return policy was complicated.",0.8400000000000001,271.26,0.15329004329004325,0.507754110103809,Macbook
"The first MacBook came and not only was the screen flashing like it was about to give out, but the MacBook wouldn’t even stay up cuz the screen half was so loose. There was also weird engravings in the front and crumbs all over the keyboard. I immediately sent this back and requested a replacement the same day. The company was very fast to respond and help.<br /><br />I received my new mac today, and I can honestly say this thing barley looks used and is in really good condition. Due to the company being so responsive and helpful, and this replacement mac being in such a good condition, I’m going to give a 4/5 for now. I’ll update my review once I get more time with it. If the MacBook you get is like the one I just received today, I would recommend it.",0.8400000000000001,284.0,0.15185159285159286,0.5057141712430839,Macbook
"I had ordered this from a different vendor and had to return it because it came in poor condition. When I ordered this one, i was pleased with its condition. I am a writer and use this for my drafting process. It’s so useful and a great size",0.8,594.0,0.24,0.5056517006520636,Macbook
"[[VIDEOID:262ecc90a9a9d6a777e71457a831685c]] The corners are all banged up, dented all over, deep scratches and this was listed as excellent condition. This is not excellent. I have ordered other renewed apple items and they were perfect. I am not happy. This is suppose to be my daughters birthday present who is autistic. She is not going to be happy. Thanks a lot. What a let down.",0.8400000000000001,271.26,0.14722222222222223,0.5047201995698984,Macbook
"Nice value. MacBook Pro was in perfect working order when received and continues to be so today, 6 months later. This item was clean and looked new except for a very minor scuff on the top side and a small divot out of the finish on one key. Delivery was very prompt, quicker that stated when ordering and very well packed.",0.8400000000000001,740.0,0.24436639118457304,0.5046995593794381,Macbook
"I recently decided to switch off from windows to mac and this popped up on the daily amazon deal at the right time! Even though this is labeled as ""refurbished"", my hard-core macbook fan friend didn't even notice the difference and was amazed when i told him this was refurbished. truly recommend this to ppl looking for macbook that's not THAT overpriced :)",0.8400000000000001,604.62,0.21428571428571427,0.5036936175380345,Macbook
